track_id;track_name;track_number;track_popularity;explicit;artist_name;artist_name & track name;artist_popularity;artist_followers;artist_genres;album_id;album_name;album_release_date;anno;decade;album_total_tracks;album_type;track_duration_min
3EJS5LyekDim1Tf5rBFmZl;Trippy Mane (ft. Project Pat);4;0;True;Diplo;Diplo - Trippy Mane (ft. Project Pat);77;2812821,00;moombahton;5QRFnGnBeMGePBKF2xTz5z;d00mscrvll, Vol. 1;2025-10-31;2025;2020;9;album;1.55
1oQW6G2ZiwMuHqlPpP27DB;OMG!;1;0;True;Yelawolf;Yelawolf - OMG!;64;2363438,00;country hip hop, southern hip hop;4SUmmwnv0xTjRcLdjczGg2;OMG!;2025-10-31;2025;2020;1;single;3.07
7mdkjzoIYlf1rx9EtBpGmU;Hard 2 Find;1;4;True;Riff Raff;Riff Raff - Hard 2 Find;48;193302,00;N/A;3E3zEAL8gUYWaLYB9L7gbp;Hard 2 Find;2025-10-31;2025;2020;1;single;2.55
67rW0Zl7oB3qEpD5YWWE5w;Still Get Like That (ft. Project Pat & Starrah);8;30;True;Diplo;Diplo - Still Get Like That (ft. Project Pat & Starrah);77;2813710,00;moombahton;5QRFnGnBeMGePBKF2xTz5z;d00mscrvll, Vol. 1;2025-10-31;2025;2020;9;album;1.69
15xptTfRBrjsppW0INUZjf;ride me like a harley;2;0;True;Rumelis;Rumelis - ride me like a harley;48;8682,00;dark r&b;06FDIpSHYmZAZoyuYtc7kd;come closer / ride me like a harley;2025-10-30;2025;2020;2;single;2.39
4ccpCcZYseq8VrPMK1EDs0;BLEED;1;2;False;Minzie;Minzie - BLEED;46;7218,00;dark r&b;2NQv9p3ZQW0Ed1LB9enix8;BLEED;2025-10-30;2025;2020;3;single;2.76
3QoQ3HqXTAjgEl9LbNMbYp;Te Procuro na Cidade;1;20;False;AZERDK;AZERDK - Te Procuro na Cidade;30;1657,00;N/A;1PpuOsLjPWshDLxkr0oHeU;Te Procuro na Cidade;2025-10-30;2025;2020;1;single;4.12
1YEZbdT417SfolPQzaoHs2;come closer;1;27;False;Rumelis;Rumelis - come closer;49;8802,00;dark r&b;06FDIpSHYmZAZoyuYtc7kd;come closer / ride me like a harley;2025-10-30;2025;2020;2;single;2.53
4pZ949nFW5SurwzE0TSe7I;Cupido Vagabundo;1;16;False;Toni dos Anjos;Toni dos Anjos - Cupido Vagabundo;6;475,00;N/A;60DLQZkzpvDvVfvEC6VOJM;Cupido Vagabundo;2025-10-30;2025;2020;2;single;2.92
0L0LgwFZ7UtBnRNQvSBty6;LET’S GO!;1;33;True;PsychoYP;PsychoYP - LET’S GO!;48;154802,00;nigerian drill, alté, afro adura, afrobeats, afrobeat, afroswing;3ARxksm8CspGeAaZZB1v2w;LET’S GO!;2025-10-28;2025;2020;1;single;2.4
